bad,4927,243
anoth,4911,244
dine,4875,245
brisket,4845,246
sushi,4830,247
see,4786,248
crowd,4723,249
disappoint,4706,250
beef,4646,251
busi,4632,252
where,4583,253
should,4559,254
portion,4525,255
reason,4521,256
thought,4513,257
each,4470,258
crust,4462,259
doe,4462,260
noth,4408,261
kind,4389,262
actual,4383,263
date,4380,264
walk,4379,265
live,4376,266
fish,4325,267
lobster,4324,268
full,4281,269
find,4279,270
egg,4279,271
these,4266,272
cours,4259,273
roll,4253,274
quit,4252,275
sandwich,4244,276
brunch,4241,277
cook,4208,278
must,4180,279
half,4158,280
piec,4155,281
spot,4149,282
larg,4134,283
howev,4093,284
waiter,4091,285
work,4072,286
person,4062,287
sausag,4041,288
super,4015,289
took,4004,290
mayb,3994,291
huge,3977,292
select,3976,293
away,3963,294
onc,3943,295
fun,3911,296
area,3896,297
park,3892,298
shrimp,3862,299
open,3853,300
everyon,3850,301
parti,3831,302
overal,3823,303
decid,3811,304
ok,3784,305
fantast,3773,306
those,3768,307
quick,3755,308
deep,3739,309
call,3710,310
use,3710,311
toast,3676,312
check,3675,313
usual,3675,314
let,3662,315
list,3628,316
italian,3619,317
outsid,3604,318
style,3601,319
loud,3581,320
fan,3573,321
year,3558,322
breakfast,3557,323
her,3536,324
els,3528,325
bacon,3508,326
whi,3471,327
put,3466,328
wonder,3459,329
red,3441,330
without,3419,331
pack,3408,332
citi,3395,333
anyth,3378,334
spici,3325,335
sangria,3324,336
qualiti,3313,337
stop,3311,338
arriv,3288,339
help,3283,340
three,3278,341
oh,3235,342
smoqu,3235,343
bean,3234,344
told,3224,345
coupl,3214,346
happi,3184,347
his,3169,348
wing,3166,349
almost,3153,350
absolut,3141,351
yes,3140,352
especi,3086,353
size,3073,354
waitress,3072,355
left,3053,356
bite,3044,357
week,3041,358
dog,3038,359
tomato,3037,360
room,3020,361
chocol,3000,362
item,2996,363
hard,2987,364
least,2980,365
final,2977,366
surpris,2964,367
home,2958,368
mac,2940,369
goat,2915,370
dure,2900,371
same,2894,372
attent,2892,373
crispi,2890,374
door,2872,375
offer,2862,376
option,2855,377
far,2848,378
whole,2832,379
appet,2825,380
point,2811,381
part,2805,382
hand,2805,383
impress,2794,384
insid,2763,385
name,2762,386
may,2744,387
butter,2709,388
ate,2707,389
light,2706,390
close,2704,391
weekend,2703,392
white,2694,393
choic,2690,394
cool,2685,395
although,2670,396
such,2669,397
tell,2669,398
second,2662,399
sat,2647,400
saturday,2646,401
found,2645,402
cocktail,2610,403
pull,2603,404
garlic,2597,405
tender,2593,406
wish,2586,407
chef,2580,408
guy,2580,409
fill,2577,410
earli,2563,411
total,2537,412
prepar,2512,413
felt,2507,414
mayo,2495,415
decent,2476,416
onion,2455,417
steak,2452,418
leav,2449,419
entre,2446,420
NUMpm,2444,421
mean,2438,422
might,2429,423
seafood,2415,424
dip,2413,425
pasta,2411,426
trip,2411,427
town,2408,428
slice,2407,429
bring,2403,430
frite,2398,431
yummi,2396,432
wrong,2384,433
glass,2356,434
own,2356,435
finish,2355,436
rememb,2349,437
mouth,2346,438
abl,2345,439
grill,2336,440
yet,2313,441
cold,2312,442
mushroom,2292,443
less,2287,444
short,2281,445
incred,2281,446
belli,2275,447
sashimi,2273,448
locat,2269,449
diner,2267,450
thin,2264,451
rice,2257,452
return,2253,453
suggest,2252,454
pepper,2250,455
late,2246,456
keep,2244,457
mind,2236,458
through,2223,459
hous,2221,460
water,2217,461
smoke,2217,462
real,2212,463
street,2211,464
amount,2210,465
talk,2197,466
move,2176,467
includ,2176,468
gave,2174,469
thank,2157,470
quartino,2144,471
roast,2141,472
alreadi,2141,473
salti,2139,474
decor,2129,475
serious,2120,476
interest,2120,477
la,2119,478
fine,2114,479
sunday,2111,480
wo,2108,481
care,2107,482
waffl,2105,483
done,2105,484
okay,2100,485
until,2097,486
crisp,2093,487
pick,2088,488
corn,2083,489
warm,2079,490
yelp,2058,491
sever,2056,492
myself,2052,493
stand,2046,494
cake,2040,495
either,2038,496
miss,2035,497
head,2030,498
season,2029,499
guess,2013,500
mix,2012,501
manag,2010,502
fast,2010,503
heard,2008,504
extrem,1997,505
husband,1987,506
instead,1986,507
fact,1980,508
someon,1973,509
brought,1968,510
free,1968,511
later,1958,512
cream,1957,513
orlean,1944,514
music,1926,515
type,1925,516
famili,1906,517
pay,1906,518
space,1904,519
stuf,1895,520
eaten,1880,521
between,1869,522
green,1868,523
bill,1866,524
regular,1866,525
coffe,1863,526
friday,1863,527
bartend,1861,528
ambianc,1859,529
deal,1853,530
duck,1849,531
raw,1849,532
hit,1841,533
bowl,1840,534
show,1839,535
read,1837,536
clam,1833,537
girl,1828,538
boston,1826,539
vegetarian,1824,540
complet,1820,541
soup,1810,542
four,1806,543
boyfriend,1805,544
joint,1803,545
pleas,1795,546
dri,1794,547
varieti,1793,548
front,1792,549
uniqu,1789,550
hostess,1786,551
prefer,1771,552
except,1771,553
custom,1765,554
hope,1762,555
stuff,1755,556
near,1755,557
entir,1751,558
readi,1745,559
main,1737,560
cut,1735,561
cafe,1733,562
kitchen,1725,563
extra,1721,564
old,1716,565
cheap,1714,566
turn,1714,567
birthday,1705,568
him,1701,569
truffl,1699,570
plus,1699,571
yum,1695,572
watch,1693,573
add,1691,574
expens,1690,575
life,1687,576
hype,1678,577
crab,1673,578
honest,1673,579
hear,1673,580
set,1670,581
rather,1660,582
sampl,1658,583
split,1654,584
local,1651,585
de,1649,586
pair,1644,587
ice,1638,588
wow,1636,589
bottl,1635,590
consid,1619,591
believ,1615,592
mention,1593,593
plenti,1590,594
soon,1590,595
rest,1584,596
world,1584,597
oliv,1582,598
tip,1573,599
grit,1567,600
fair,1566,601
veggi,1564,602
chang,1561,603
gumbo,1560,604
crunchi,1553,605
melt,1544,606
wrap,1541,607
averag,1534,608
given,1531,609
salt,1522,610
pickl,1520,611
slight,1519,612
rich,1518,613
plan,1518,614
glad,1514,615
scallop,1511,616
sometim,1510,617
tuna,1503,618
boy,1494,619
lou,1489,620
vegan,1486,621
combin,1482,622
problem,1478,623
togeth,1476,624
salmon,1476,625
die,1475,626
wife,1474,627
excit,1472,628
base,1468,629
hungri,1467,630
ingredi,1467,631
jam,1465,632
run,1465,633
textur,1464,634
note,1462,635
ago,1460,636
chip,1454,637
stay,1453,638
number,1451,639
twice,1450,640
knew,1447,641
bake,1435,642
present,1435,643
choos,1434,644
anyway,1433,645
liter,1426,646
saw,1426,647
tini,1425,648
often,1423,649
rate,1423,650
basic,1418,651
simpl,1417,652
platter,1416,653
solid,1411,654
soft,1408,655
anyon,1401,656
month,1401,657
consist,1398,658
juici,1396,659
itself,1390,660
peach,1386,661
portillo,1384,662
sound,1376,663
five,1374,664
publican,1368,665
thick,1368,666
pricey,1359,667
certain,1359,668
alinea,1355,669
money,1354,670
past,1352,671
word,1350,672
ad,1348,673
recent,1348,674
creami,1348,675
pomm,1339,676
convers,1337,677
paella,1336,678
babi,1333,679
lack,1333,680
heaven,1330,681
happen,1326,682
pequod,1325,683
meatbal,1324,684
satisfi,1323,685
sort,1322,686
cochon,1320,687
ham,1300,688
across,1298,689
beauti,1298,690
compar,1296,691
along,1295,692
idea,1290,693
damn,1289,694
understand,1287,695
black,1285,696
toro,1284,697
normal,1280,698
oil,1279,699
simpli,1279,700
dress,1276,701
crazi,1275,702
write,1271,703
st,1267,704
comfort,1265,705
man,1259,706
jambalaya,1258,707
popular,1258,708
bone,1257,709
slaw,1255,710
grab,1252,711
rave,1251,712
complaint,1241,713
bland,1237,714
pie,1237,715
wall,1235,716
clear,1232,717
mango,1231,718
chili,1230,719
crave,1230,720
immedi,1217,721
n,1214,722
fat,1211,723
tradit,1208,724
min,1208,725
yourself,1204,726
